workerid,hitId,start_time,response,response_order
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,fan,0
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,february,1
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,feelings,2
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,freedom,3
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,free,4
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,feel,5
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,fun,6
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,funny,7
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,fantastic,8
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,freak,10
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,fam,11
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,family,12
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,farm,13
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,farming,14
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:08.007Z,Farmington,15
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Fight,0
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Flight,1
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Frigid,2
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Fame,3
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Famous,4
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Factual,5
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Fact,6
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Forgiven,7
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Forsake,8
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Found,9
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Fright,10
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Frightening,11
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Freedom,12
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:39:30.515Z,Fax,13
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Food,0
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Fudge,2
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Fridge,3
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Fun,4
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Funk,5
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Fund,7
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Fin,8
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Find,9
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Fine,10
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:40:40.680Z,Fuse,11
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fried,0
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,free,1
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,food,2
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fire,3
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fret,4
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fred,5
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fry,6
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,foot,7
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,feet,8
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,focus,9
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fuck,10
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fad,11
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fabric,12
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,failure,13
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,far,14
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fairy,15
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,faith,16
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,false,17
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,fame,18
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:40.196Z,family,19
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,full,0
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,food,1
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fun,2
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,foot,3
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fool,4
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fine,5
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fume,6
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,funeral,7
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fruit,8
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fig,9
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,figure,10
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,free,11
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,freedom,12
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fan,13
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,feign,14
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fat,15
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,frat,16
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:28.665Z,fraternity,17
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,fake,0
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,,1
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,fossil,2
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,fart,3
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,flake,4
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,fog,5
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,front,6
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,far,7
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,farther,8
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,frank,9
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,frost,10
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:28.919Z,first,11
5e3f04fdb721da159417a725,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:47.074Z,fun fall friend family forlorn folk four,0
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,Fool,0
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,first,1
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,face,2
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,fog,3
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,flower,4
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,flatulent,5
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,figure,6
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,figurine,7
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:41:37.021Z,first,8
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:05.836Z,furniture,0
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:05.836Z,floor,1
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:05.836Z,freezer,2
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,2024-08-21T00:42:05.836Z,fridge,3
